sl,id,source_sentence,paraphrased_sentence
198752,178646,ফাইবার পানির সঙ্গে দ্রবীভূত হয়ে যায় এবং জেল আকারে গঠিত হয়,ফাইবার পানিতে দ্রবীভূত হয় এবং একটি জেল গঠন করে
142132,119431,এর দুদিন পরই টিভিতে তিনি শুনতে পান সংবাদপাঠক বলছেন চীনের উহান শহর থেকে আগত মেডিকেলের এক শিক্ষার্থীর স্বাস্থ্য পরীক্ষায় দেখা গেছে তিনি করোনাভাইরাসে আক্রান্ত,দুই দিন পর তিনি টিভিতে শুনলেন যে চীনের উহানের এক মেডিকেল ছাত্র করোনাভাইরাস পজিটিভ পরীক্ষা করেছে।
161796,140615,রোজ হয়তো একটা কলা খান,হয়তো প্রতিদিন একটি করে কলা খান।
193320,173214,জেনে নিন এসির ক্ষতিকর দিকগুলো ব্রেন হ্যামারেজের ঘটনা বেশিরভাগই শীতকালে দেখা যায়,জেনে নিন এসির ক্ষতিকর প্রভাব। ব্রেন হেমারেজের ঘটনা বেশি দেখা যায় শীতকালে।
28922,34353, প্রাকৃতিকভাবে উৎপন্ন ভেষজ দীর্ঘদিন ধরে ব্যবহার করলেও একই ঘটনা ঘটতে পারে,একই জিনিস প্রাকৃতিকভাবে ঘটতে ভেষজ দীর্ঘমেয়াদী ব্যবহার সঙ্গে ঘটতে পারে.
151570,129536,সেই সঙ্গে আনুষঙ্গিক রক্তের শর্করা চর্বি বা লিভারের এনজাইম ইত্যাদি পরীক্ষা করা উচিত,"এর পাশাপাশি রক্তে শর্করা, চর্বি বা লিভারের এনজাইম পরীক্ষা করতে হবে।"
50844,22302,সাধারণত ভাইরাস এবং ব্যাকটেরিয়াজনিত কারণে সাইনাসজনিত সমস্যা হয়ে থাকে,সাইনাসের সমস্যা সাধারণত ভাইরাস এবং ব্যাকটেরিয়ার কারণে হয়ে থাকে।
54662,26403,এ ছাড়া অনেক শিশু বিদ্যালয় থেকেও স্ক্যাবিসে আক্রান্ত হয়,এ ছাড়া অনেক শিশু স্কুল থেকেও খোসপাঁচড়া পায়।
107405,82672,নারী দেহের প্রজননতন্ত্রের সবচেয়ে গুরুত্বপূর্ণ অঙ্গের নাম জরায়ু বা ইউটেরাস Uterus,জরায়ু মহিলাদের প্রজনন ব্যবস্থার সবচেয়ে গুরুত্বপূর্ণ অঙ্গ।
33332,3562,স্তন ক্যানসার সচেতনতায় যুগান্তর আমাদের সঙ্গে কাজ করায় ধন্যবাদ জানাচ্ছি,স্তন ক্যান্সার সচেতনতায় আমাদের সাথে কাজ করার জন্য আপনাকে ধন্যবাদ।
122505,98730,এলার্জির ক্ষেত্রে মাংসপেশির ব্যথা থাকে না,অ্যালার্জির কারণে পেশীতে ব্যথা হয় না।
76602,49751,"ও 
সানজিদা সুলতানা রুপা 
কাউন্সেলিং সাইকোলজি ঢাকা বিশ্ববিদ্যালয়",এবং সানজিদা সুলতানা সিলভার কাউন্সেলিং সাইকোলজি ঢাকা বিশ্ববিদ্যালয়ের ড
115573,91317,এ কথাও ঠিক যে নানাভাবে শীতের ঠান্ডা আমাদের শরীরের উপকারেও লেগে থাকে,এটাও ঠিক যে শীতের ঠাণ্ডা আমাদের শরীরের জন্য নানাভাবে উপকারী।
97887,72401,২০ বছর বয়সের মাঝামাঝি সময় থেকে ব্রণ হওয়ার হার কমে যেতে থাকে,"20-এর দশকের মাঝামাঝি থেকে, ব্রণের প্রকোপ কমতে শুরু করে।"
71399,44237,কিডনি রোগীদের ক্ষেত্রে নিয়মিত ওষুধ সেবন এবং রুটিন চেকআপ করানো আবশ্যক,কিডনি রোগীদের জন্য নিয়মিত ওষুধ এবং রুটিন চেকআপ অপরিহার্য।
127162,103673,তাদের মধ্যে হাসপাতালে মারা গেছেন ২৩ জন আর বাড়িতে ১৮ জন,তাদের মধ্যে 23 জন হাসপাতালে এবং 18 জন বাড়িতে মারা যান।
18484,21938, এখানে কোনো নিয়ম না মেনেই চলছে সবকিছু,এখানে সব কিছু চলছে নিয়ম না মেনে।
93587,67796,তারা আরও বলেছে তাদের গবেষণায় ১০ লাখের মধ্যে মাত্র ২ জন ছেলেমেয়ের করোনা আক্রান্ত হয়ে হাসপাতালের ইনটেন্সিভ চিকিৎসা সেবা গ্রহণ করতে হয়েছে,"তারা আরও বলেছে যে তাদের গবেষণায় 100,000 শিশুর মধ্যে মাত্র 2 জন এই ভাইরাসে সংক্রমিত হয়েছিল এবং তাদের হাসপাতালে নিবিড় পরিচর্যার প্রয়োজন ছিল।"
138311,115418,২৬ মার্চ দেশের একটি শীর্ষস্থানীয় দৈনিক সংবাদ প্রকাশ করে জানায় ঢাকার বাইরে আর কোনো জেলায় শ্বাসপ্রশ্বাসের কৃত্রিম যন্ত্র ভেন্টিলেটর নেই এবং ঢাকায়ও যা আছে সেটি একেবারেই নগণ্য,"26 মার্চ, দেশের একটি শীর্ষস্থানীয় দৈনিক রিপোর্ট করেছে যে ঢাকার বাইরে অন্য কোনো জেলায় ভেন্টিলেটর নেই এবং ঢাকায় যা আছে তা নগণ্য।"
100034,74709,পলিসিস্টিক ওভারি সিন্ড্রোমে আক্রান্ত নারীদের অধিকাংশই এ সমস্যার শারীরিক লক্ষণগুলোকে খুব দ্রুত বুঝতে পারেন না,পলিসিস্টিক ওভারি সিনড্রোমে আক্রান্ত বেশিরভাগ মহিলাই সমস্যার শারীরিক লক্ষণ খুব দ্রুত চিনতে পারেন না।
73442,46414,সিনিয়র টিচার থেকে শুরু করে জুনিয়ার ডাক্তার সবার কাছেই সমানভাবে প্রিয় ছিল,সিনিয়র শিক্ষক থেকে শুরু করে জুনিয়র ডাক্তার সবাই সমান প্রিয় ছিলেন।
7349,8568,"স্বাস্থ্য অধিদপ্তরের তথ্য অনুযায়ী, দেশে ২০০০ সালে প্রথম এডিস মশাবাহিত ডেঙ্গুরোগী শনাক্ত হয়","স্বাস্থ্য অধিদপ্তরের তথ্য অনুযায়ী, ২০০০ সালে দেশে প্রথম এডিস মশাবাহিত ডেঙ্গু রোগী শনাক্ত হয়।"
188643,168537,এ ছাড়া কাজু বাদাম পেস্তা কিশমিশ কুচি আধা কাপ এলাচ দুটি ও তেজপাতা দুটি,"এ ছাড়া আধা কাপ কাজুবাদাম, পেস্তা, কাটা কিশমিশ, দুটি এলাচ ও দুটি তেজপাতা।"
188725,168619,এবার ক্লিপের ওপর ইচ্ছেমতো ফুল লাগিয়ে নিন,এখনই ক্লিপে পছন্দসই ফুলগুলি সংযুক্ত করুন।
152119,130129,রক্তের শ্বেতকণিকার মাত্রা কমে যাওয়া কিংবা অ্যালবুমিন কমে যাওয়াও জটিলতার নির্দেশক,শ্বেত রক্তকণিকার মাত্রা কমে যাওয়া বা অ্যালবুমিন কমে যাওয়াও জটিলতার ইঙ্গিত দেয়
90312,64294,আপনি যদি পানি ঠিকমতো পান না করেন তবে বেছে নিতে হবে সেসব খাবার,আপনি যদি পর্যাপ্ত জল পান না করেন তবে আপনাকে এই খাবারগুলি বেছে নিতে হবে।
190825,170719,এক্ষেত্রে লেড লাইট বেশ ভালো কাজ করে,এক্ষেত্রে এলইডি লাইট খুব ভালো কাজ করে।
22171,26348," আঁশ খাদ্য হজম, পরিপাক ও বিপাক ক্রিয়ায় সহায়তা করে","ফাইবার খাদ্য হজম, পরিপাক ও বিপাক ক্রিয়ায় সাহায্য করে।"
124031,100377,এ রিপোর্টের মাধ্যমে ক্যান্সার যক্ষ্মা নিউমোনিয়াসহ আরও অনেক রোগ নির্ণয় করা যায়,"ক্যান্সার, যক্ষ্মা, নিউমোনিয়াসহ নানা রোগ নির্ণয় করা যাবে এই প্রতিবেদনের মাধ্যমে।"
169285,148719,হলুদে এমন কিছু উপাদান থাকে যা প্রদাহ কমায়,হলুদে এমন উপাদান রয়েছে যা প্রদাহ কমায়।
121616,97776,কিছু ক্ষেত্রে দাঁতের সংক্রমণ নিয়ন্ত্রণ করা না গেলে বা মুখের যত্নে চরম অবহেলা থাকলেও দাঁত ফেলে দিতে হতে পারে,"কিছু কিছু ক্ষেত্রে, যদি সংক্রমণ নিয়ন্ত্রণ না করা হয় বা মুখের যত্নকে চরমভাবে অবহেলা করা হয় তাহলে দাঁত ফেলে দিতে হতে পারে।"
69106,41821,হৃৎপিণ্ডের ডান দিকে গড় SpO হলো ৬০৬৫ এবং বাম দিকে SpO হল ৯৫,হার্টের ডান দিকে গড় SPO 6065 এবং বাম দিকে SPO 95।
101798,76616,ঙ    থায়রয়েড গ্লান্ড ছাড়া অন্য কোন উৎসের কারণে থায়রয়েড হরমোনের আধিক্য,E. থাইরয়েড গ্রন্থি ছাড়া অন্য উৎসের কারণে অতিরিক্ত থাইরয়েড হরমোন।
57412,29373,রক্ত উঠানামা একটি জটিল স্বাস্থ্যগত সমস্যা,রক্ত জমাট বাঁধা একটি জটিল স্বাস্থ্য সমস্যা।
188045,167939,আর বাঙালি বাড়িতে লাউ থাকবে না তাতো আর হয় না,বাঙালির ঘরে আর লাউ থাকবে না এমন নয়।
52806,24384,ছোট শিশু এবং সদ্য হাঁটা শুরু করা বাচ্চাদের toddlers মধ্যে অস্থিরতা কখনো কখনো ক্ষুধামন্দা বা অরুচি দেখা দেয় এবং শিশু অসুস্থতা বোধ করে,"ছোট বাচ্চাদের এবং ছোট বাচ্চাদের মধ্যে, অস্থিরতার ফলে কখনও কখনও ক্ষুধা কমে যায় বা ক্ষুধা না লাগে এবং শিশু অসুস্থ বোধ করে।"
194830,174724,গর্সকে প্রথম দিকে বার্গার কিনতে নিয়মিত ম্যাকডোনাল্ডে যেতেন,"প্রথম দিকে, গোর্স্ক নিয়মিত বার্গার কিনতে ম্যাকডোনাল্ডে যেতেন।"
161010,139766,রান্নায়ও কম লবণ দিতে হবে,রান্নায় লবণ কম ব্যবহার করা উচিত।
105359,80509,"ব্ল্যাক ফাঙ্গাসে আক্রান্ত হলে করণীয়
ধুলোবালি রয়েছে এমন জায়গায় গেলে অবশ্যই মাস্ক ব্যবহার করুন
চিকিৎসকের পরামর্শে অ্যান্টিফাংগাল বা অ্যান্টিবায়োটিক ওষুধ শুরু করা
ডায়াবেটিস নিয়ন্ত্রণে রাখতে হবে
সঠিক পরিমাণে স্টেরয়েডের ব্যবহার
উপসর্গ দেখলেই সাবধান হতে হবে",ব্ল্যাক ফাঙ্গাসে আক্রান্ত হলে কি করবেন ডাক্তারের পরামর্শে অ্যান্টিফাঙ্গাল বা অ্যান্টিবায়োটিক ওষুধ শুরু করুন ডায়াবেটিস নিয়ন্ত্রণে রাখতে হবে। সঠিক মাত্রায় স্টেরয়েড ব্যবহার করুন উপসর্গ দেখলে সতর্ক হোন।
46745,17904,তাই খুব বেশি গরম ও ভারী কাপড় পরার প্রয়োজন হয় না,তাই খুব গরম ও ভারী কাপড় পরার দরকার নেই।
140134,117323,প্রসঙ্গত গেল ডিসেম্বরের শেষদিকে চীনের উহানে উৎপত্তি হয়ে এরইমধ্যে বিশ্বজুড়ে করোনায় আক্রান্ত হয়ে মারা গেছেন ১৬ হাজার ৬০০ মানুষ,চীনের উহান থেকে উৎপত্তি হওয়া করোনা ভাইরাসে গত বছরের ডিসেম্বরের শেষের দিকে ১৬ হাজার ৬০০ জনের মৃত্যু হয়।
7601,8859, তাই ৮০ ডিগ্রি সেন্টিগ্রেড তাপমাত্রায় ধীরে ধীরে রান্না করা উচিত,তাই এটি 80 ডিগ্রি সেন্টিগ্রেড তাপমাত্রায় ধীরে ধীরে রান্না করা উচিত।
47560,18785,তাছাড়া আরো কতগুলা যেমন বিএমআই বেশি হওয়া,তাছাড়া আরও কিছু কারণ যেমন উচ্চ বিএমআই।
111040,86528,দেশে শনাক্ত হওয়া করোনাভাইরাসের কোভিড১৯ নতুন ধরন নিয়ে ব্যাপকভাবে আলোচনা চলছে,দেশে শনাক্ত হওয়া নতুন ধরনের করোনাভাইরাস কোভিড-১৯ নিয়ে তুমুল আলোচনা চলছে।
3383,3983, তাই হাঁটার সময়ে গতি কমালে চলবে না,তাই হাঁটার সময় ধীরগতি করবেন না।
150562,128461,চুলে খুশকি ও উকুনের সংক্রমণ চুলে খুশকি হলে অথবা উকুনের সংক্রমণ হলে অনেক বেশি চুলকায়,চুলে খুশকি ও উকুনের উপদ্রব: চুলে খুশকি বা উকুনের উপদ্রব থাকলে খুব চুলকায়।
6059,7055," যদি পাত্রটি এমন হয় যে, পানি ফেলে দেওয়া যাচ্ছে না তাহলে সেখানে কীটনাশক বা কেরোসিন বা ব্লিচিং পাউডার বা লবণ দিন","যদি পাত্রটি এমন হয় যাতে পানি নিষ্কাশন করা যায় না, তাহলে কীটনাশক বা কেরোসিন বা ব্লিচিং পাউডার বা লবণ যোগ করুন।"
130974,107673,সাইটোকাইন অতিপ্রবাহ বা ঝড় এর কারণে সমান্তরাল ক্ষতি ও রক্তজমাট বা ক্লটের সমস্যার ছাড়াও অন্যান্য জিনিস যেমন কম রক্তচাপ যা একটি গুরুতর অসুস্থতার ইঙ্গিতবহন করে কম অক্সিজেনের মাত্রা ভেন্টিলেটরের ব্যবহার এবং চিকিৎসায় ব্যবহৃত ওষুধ নিজেরাই হৃৎপিণ্ড কিডনি লিভার এবং মস্তিষ্কসহ শরীরের সমস্ত অঙ্গকে ক্ষতি করতে পারে,"সাইটোকাইন ওভারলোড বা ঝড়ের কারণে সমান্তরাল ক্ষতি এবং রক্ত ​​জমাট সমস্যা ছাড়াও, অন্যান্য জিনিস যেমন নিম্ন রক্তচাপ যা গুরুতর অসুস্থতার ইঙ্গিত দেয়, কম অক্সিজেনের মাত্রা, ভেন্টিলেটর ব্যবহার এবং চিকিত্সায় ব্যবহৃত ওষুধগুলি শরীরের সমস্ত অঙ্গের ক্ষতি করতে পারে, হৃদয়, কিডনি, লিভার এবং মস্তিষ্ক সহ।"
161663,140474,পিএলআইডির ব্যথা সাধারণত কোমর ও কোমরের পেছন দিয়ে ঊরু এবং পায়ের পেছন দিক দিয়ে পায়ের পাতা পর্যন্ত যেতে পারে,পিএলআইডির ব্যথা সাধারণত কোমর এবং কোমরের পিছনে থেকে উরু এবং পায়ের পিছনের দিকে বিকিরণ করে এবং পায়ের তলায় যেতে পারে।
172658,152334,মেলাটোনিন অ্যান্টিঅক্সিডেন্ট হিসেবেও কাজ করে,মেলাটোনিন অ্যান্টিঅক্সিডেন্ট হিসেবেও কাজ করে।
156735,135122,সেই সঙ্গে চাপ সামলানোর কিছু কৌশলও প্রয়োগ করা যেতে পারে,"এর সাথে, কিছু স্ট্রেস ম্যানেজমেন্ট কৌশলও প্রয়োগ করা যেতে পারে।"
115235,90936,ডেন্টাল এমালগাম ফিলিং দেয়ার সময় কোনোভাবে পারদ মুখের মিউকাস মেমব্রেনের সংস্পর্শে এলে এবং মোটামুটি একটি নির্দিষ্ট সময় অবস্থান করলে মুখে আলসার বা অন্য যে কোনো সমস্যা দেখা দিতে পারে,"ডেন্টাল অ্যামালগাম ফিলিংসের সময়, যদি পারদ কোনোভাবে মুখের মিউকাস মেমব্রেনের সংস্পর্শে আসে এবং একটি নির্দিষ্ট সময় ধরে থাকে, তাহলে তা মুখের আলসার বা অন্যান্য সমস্যা তৈরি করতে পারে।"
126737,103230,খাবারের পাশপাশি মাছ মাংস ডিম দুধ ইত্যাদি খেতে হবে,"খাবারের সাথে মাছ, মাংস, ডিম, দুধ ইত্যাদি খেতে হবে।"
166496,145733,৬ রোজা থাকা অবস্থায় পাতলা পায়খানা বা বমি হলে রোজা ভেঙে খাবার স্যালাইন খেয়ে ফেলাই ভালো,রোজা রেখে ডায়রিয়া বা বমি হলে রোজা ভেঙে স্যালাইন খাওয়া উত্তম।
48125,19385,বিশেষ করে দাঁত উঠার পর শিশুদের দুধ দাঁতের প্রতি খেয়াল রাখা লাগে,বিশেষ করে দাঁত তোলার পর শিশুর দাঁতের যত্ন নেওয়া প্রয়োজন।
134209,111060,এটা মাধ্যমে বোঝা যাচ্ছে যে ইরানের জনগণ হাত ধোয়ার বিষয়ে সচেতন হয়েছে,এর মানে ইরানের মানুষ হাত ধোয়ার ব্যাপারে সচেতন হয়ে উঠেছে।
15122,17877,বিশ্ব স্বাস্থ্য সংস্থার হিসাবে ১ জন চিকিৎসকের বিপরীতে ৩ জন রেজিস্টার্ড নার্স প্রয়োজন,"WHO এর মতে, 1 জন ডাক্তারের বিপরীতে 3 জন নিবন্ধিত নার্স প্রয়োজন।"
97076,71529, আপনার চটপট আরামের ওষুধ যদি খুব বেশিক্ষণ কাজ না করে বা তাতে একেবারেই উপকার না হয়,যদি আপনার দ্রুত-ত্রাণ ওষুধ দীর্ঘ সময় ধরে কাজ না করে বা সাহায্য না করে।
66983,39594,একজন মানুষের ব্যক্তিত্ব কেমন হবে তার অনেকটাই নির্ভর করে তার কণ্ঠের ওপর,একজন ব্যক্তির ব্যক্তিত্ব কেমন হবে তা অনেকটাই নির্ভর করে তার কণ্ঠস্বরের ওপর।
64789,37279,জলবায়ুর পরিবর্তন এবং তাপমাত্রা বৃদ্ধির কারণে কিছু মানুষের মেজাজ পরিবর্তন হতে পারে,জলবায়ুর পরিবর্তন এবং ক্রমবর্ধমান তাপমাত্রা কিছু লোকের মেজাজ পরিবর্তনের কারণ হতে পারে।
23224,27633," দ্রবণীয় আঁশ শরীরের লো-ডেনসিটি লাইপোপ্রোটিন, অর্থাৎ বাজে কোলেস্টেরলকে কমাতে সাহায্য করে",দ্রবণীয় ফাইবার শরীরের কম ঘনত্বের লাইপোপ্রোটিন বা খারাপ কোলেস্টেরল কমাতে সাহায্য করে।
135632,112568,চলুন জানি ব্যবস্থাগুলি কি আর গবেষণাই বা কি বলে,আসুন জেনে নেওয়া যাক কী কী ব্যবস্থা এবং কী বলছে গবেষণা।
160284,138968,স্বাস্থ্যসম্মত ডায়েট মেনে চলতে হবে,একটি স্বাস্থ্যকর খাদ্য অনুসরণ করা উচিত।
190841,170735,কোষ্ঠকাঠিন্য ফোলাভাব এবং পেট সম্পর্কিত অন্যান্য অনেক সমস্যা থেকে মুক্তি পাবেন,"আপনি কোষ্ঠকাঠিন্য, ফোলাভাব এবং অন্যান্য পেট সংক্রান্ত সমস্যা থেকে মুক্তি পাবেন।"
182994,162876,কত ধরনের কনট্যুর  এটা ক্রিম ও পাউডার দুই ফর্মেই পাওয়া যায়,কি ধরনের কনট্যুর পাওয়া যায়? এটি ক্রিম এবং পাউডার উভয় আকারে পাওয়া যায়।
109991,85416,প্রথমে প্রশ্বাস ছাড়ার সময় এক গুনবেন এর পরেরবার দুই এভাবে পাঁচ পর্যন্ত,"প্রথমে, শ্বাস ছাড়ার সময়, একটি গণনা করুন, তারপরে দুটি এবং তাই পাঁচটি পর্যন্ত।"
83743,57357,ডা মো নাজমুল হক মাসুম,ডাঃ মো নাজমুল হক মাসুম
78429,51704,যারা নিয়মিত খাবার খান না না কিংবা দীর্ঘ সময় উপোস থাকেন তাদের মধ্যে পেপটিক আলসার দেখা দিতে পারে,যারা নিয়মিত খান না বা দীর্ঘ সময় ধরে উপবাস করেন তাদের পেপটিক আলসার হতে পারে।
23172,27577, মেথির অ্যান্টিব্যাকটেরিয়াল এবং অ্যান্টিফাঙ্গাল উপাদান ঈস্ট দমন করে খুশকির জন্ম প্রতিরোধ করে,মেথির অ্যান্টিব্যাকটেরিয়াল এবং অ্যান্টিফাঙ্গাল বৈশিষ্ট্য খামির দমন করে খুশকি প্রতিরোধ করে।
99716,74373,এ রোগীদের টাইপ২ ডায়াবেটিস হওয়ার ঝুঁকি অনেক বেড়ে যায়,এই রোগীদের মধ্যে টাইপ 2 ডায়াবেটিস হওয়ার ঝুঁকি অনেক বেড়ে যায়।
130642,107335,কিন্তু পরিচিত হাজারো মানুষের কাছে তিনি প্রিয় রাখী আপা নামেই বেশি পরিচিত,কিন্তু হাজারো পরিচিতজনের কাছে তিনি প্রিয়া রাখি আপা নামেই বেশি পরিচিত।
117674,93549,চোখের মাংসপেশীসমূহ অবশ হতে পারে যদি ডায়াবেটিস কন্ট্রোল না করা হয়,ডায়াবেটিস নিয়ন্ত্রণে না থাকলে চোখের পেশি অবশ হয়ে যেতে পারে।
14399,16994,আটায় থাকে গ্লুটেন নামক একটি উপাদান,ময়দায় গ্লুটেন নামক একটি উপাদান থাকে।
148865,126659,এ চিকিৎসাপদ্ধতির ধারা একেক রোগীর ক্ষেত্রে একেক রকম এবং ধারাটি নির্ভর করে রোগী ঠিক কী কী কারণে কোমরব্যথা অনুভব করছেন সেটির ওপর,এই চিকিত্সার কোর্স প্রতিটি রোগীর জন্য আলাদা এবং রোগীর পিঠে ব্যথার সঠিক কারণের উপর নির্ভর করে।
133786,110619,এর কারণ হচ্ছে প্রথমত সেখানে তাপমাত্রা বেশি থাকলেও বাতাসে আর্দ্রতা কম,"এর কারণ প্রথমত, সেখানে তাপমাত্রা বেশি, কিন্তু বাতাসে আর্দ্রতা কম।"
152728,130781,পোড়া স্থানে মধুর মিশ্রণ অথবা পানি দিয়ে চিনির মিশ্রণ লাগালেও কাজ করে,পুড়ে যাওয়া স্থানে পানির সঙ্গে মধু বা চিনি মিশিয়ে লাগালেও কাজ হয়।
124069,100417,১ অন্যের থেকে ৬ ফিট দূরে থাকা জরুরি,1 অন্যদের থেকে 6 ফুট দূরে থাকা গুরুত্বপূর্ণ।
141085,118349,সবশেষ দুদিন আগে আরও দুজনের করোনা শনাক্ত হওয়ার কথা জানায় সেব্রিনা ফ্লোরা,"সাবরিনা ফ্লোরা জানান, দুদিন আগে আরও দুজন করোনায় আক্রান্ত হয়েছেন।"
6663,7782," তাই এটিকে জরুরি জনস্বাস্থ্য সংকট ঘোষণা দিয়ে জাতীয় পর্যায় থেকে সমন্বিতভাবে কার্যকর উদ্যোগ গ্রহণের আহ্বান জানিয়ে টিআইবির নির্বাহী পরিচালক বলেন, ‘ঢাকার বাইরের সিটি কর্পোরেশন ও পৌরসভাগুলোতে মশক নিধনে সমন্বিত পদক্ষেপ গ্রহণে সক্ষমতার ঘাটতি জরুরি ভিত্তিতে চিহ্নিত করে সমাধানের উদ্যোগ নিতে হবে","তাই একে জরুরী জনস্বাস্থ্য সংকট হিসেবে ঘোষণা করে টিআইবির নির্বাহী পরিচালক জাতীয় পর্যায় থেকে সমন্বিত ও কার্যকর উদ্যোগ গ্রহণের আহ্বান জানিয়ে বলেন: “ঢাকার বাইরের সিটি কর্পোরেশন ও পৌরসভাগুলোতে জরুরি অবস্থার অভাব চিহ্নিত করে সমাধান করা জরুরি। মশা নির্মূল করার ক্ষমতা।"""
169936,149402,সালাদ জনপ্রিয় মিশ্র খাবার যা মূলত কাঁচা সবজি ও ফল দিয়ে তৈরি করা হয়,সালাদ একটি জনপ্রিয় মিশ্র খাবার যা প্রধানত কাঁচা শাকসবজি এবং ফল দিয়ে তৈরি করা হয়।
96043,70410,এন্ডোরফিন নিঃসৃত হলে মনে কোনো ব্যথাবেদনা থাকলে তা কমিয়ে দেয় এবং মনে আনন্দের সৃষ্টি করে,এন্ডোরফিন নিঃসৃত হলে তা মনের যেকোনো ব্যথা কমায় এবং মনে আনন্দ সৃষ্টি করে।
150155,128015,এ জন্য নিয়মিত সঠিক সময়ে খাবার গ্রহণ বসা থেকে দাঁড়ানো বা শোয়া থেকে বসার সময় ধীরগতি অবলম্বন দরকার হলে লাঠি ব্যবহারের অভ্যাস ভালো,"তাই সঠিক সময়ে নিয়মিত খাওয়া ভালো। বসা থেকে দাঁড়ানো বা শুয়ে থাকা থেকে বসা অবস্থায় যাওয়ার সময় আপনার যদি এটি ধীরগতিতে নেওয়ার প্রয়োজন হয়, তাহলে একটি লাঠি ব্যবহার করা একটি ভাল অভ্যাস।"
182334,162214,এই প্রক্রিয়ায় একবারে একটি রোম তোলা যায়,এই প্রক্রিয়াটি একবারে একটি চুল অপসারণ করতে পারে।
64390,36821,কিন্তু আক্রান্ত প্রাণী বা ব্যক্তির সরাসরি সংস্পর্শে এলে অথবা শরীরে থাকা ক্ষত বা ফোসকার সংস্পর্শে এলে এ রোগ সুস্থ দেহে ছড়িয়ে পড়তে পারে,কিন্তু সংক্রমিত প্রাণী বা ব্যক্তির সরাসরি সংস্পর্শে বা শরীরে ক্ষত বা ফোসকার সংস্পর্শে এ রোগটি সুস্থ শরীরে ছড়িয়ে পড়তে পারে।
146742,124354,কোষ্টকাঠিন্য হয়ে গেলে তখন কিন্তু এমনিতেও আপনার মলত্যাগের সময় বাড়তি চাপ দিতে হবে,আপনার যদি কোষ্ঠকাঠিন্য থাকে তবে আপনাকে এখনও মলত্যাগের সময় স্ট্রেন করতে হবে।
172786,152472,গাড়িতে বসে মেরুদণ্ডে আঘাত পাওয়ার অন্যতম কারণ হলো চালকের সিটবেল্ট না পরা,গাড়িতে বসার সময় মেরুদণ্ডের আঘাতের একটি প্রধান কারণ হল চালকের সিটবেল্ট না পরা।
35348,5756,একে বাই ফেজিক ফিভার বলে,একে বাইফেসিক জ্বর বলা হয়।
27897,33182, সম্ভব হলে সারাদিন বসে থাকার পরিমাণ কমিয়ে দিন,সম্ভব হলে সারাদিন বসে থাকার পরিমাণ কমিয়ে দিন।
50044,21441,চা কফিতে সমস্যা হলে তা গ্রহণ থেকেও বিরত থাকুন,চা-কফির সমস্যা থাকলে তা এড়িয়ে চলুন।
80591,53997,অনেক সময় অর্থপেডিক হাড় ও জোড়া রোগ বিশেষজ্ঞ সার্জন নিউরোমেডিসিন ও নিউরোসার্জনের পরামর্শের প্রয়োজন হয়,কখনও কখনও অর্থোপেডিক হাড় এবং জয়েন্ট বিশেষজ্ঞ সার্জন নিউরোমেডিসিন এবং নিউরোসার্জনের পরামর্শ প্রয়োজন।
39536,10212,হাসপাতালের দীর্ঘ লাইনে মায়ের কাঁধে ভর করে দাঁড়িয়ে ছিলেন অন্তঃসত্ত্বা মেয়ে,এক গর্ভবতী মেয়ে মায়ের কাঁধে হাসপাতালে লম্বা লাইনে দাঁড়িয়ে।
36141,6592,আর প্রতিদিন ৫০০১০০০ পা করে হাঁটা বৃদ্ধি করলে মৃত্যুহার উল্লেখযোগ্য হারে কমতে পারে,"এবং প্রতিদিন 5,001,000 ধাপ হাঁটা বৃদ্ধি উল্লেখযোগ্যভাবে মৃত্যুহার কমাতে পারে।"
130290,106969,পরে দ্বিতীয় দিন থেকে এক ডোজ করে দেওয়া হচ্ছে,"দ্বিতীয় দিন থেকে, একটি ডোজ পরে দেওয়া হয়।"
182174,162054,"পেঁপে
পাকা পেঁপে ত্বককে সুন্দর রাখতে কতটা উপযোগী তা অনেকেরই অজানা",পেঁপে ত্বক সুন্দর রাখতে পাকা পেঁপে কতটা উপকারী তা অনেকেই জানেন না।
84930,58609,কোলনস্কোপি এক ধরনের অ্যান্ডোসকপিক পরীক্ষা যার মাধ্যমে কোলন বা বৃহদান্ত্রের যে কোনো ধরনের রোগ শনাক্ত করা হয়,কোলনোস্কোপি হল এক ধরনের এন্ডোস্কোপিক পরীক্ষা যার মাধ্যমে কোলন বা বৃহৎ অন্ত্রের যেকোনো রোগ শনাক্ত করা যায়।
199152,179046,কারণ সে খাবার ঠান্ডা করতে ফ্রিজকে খুব বেশি শক্তি অপচয় হয়,কারণ রেফ্রিজারেটর খাবার ঠাণ্ডা করতে অনেক বেশি শক্তি অপচয় করে।
24855,29589,ডিম পুষ্টিগুণে সমৃদ্ধ স্বাস্থ্যের জন্য দারুন উপকারী,ডিম পুষ্টিগুণে ভরপুর এবং স্বাস্থ্যের জন্য দারুণ।
122711,98946,একটা হচ্ছে যারা হুবহু একই রকম দেখতে,একটি হচ্ছে তারা দেখতে হুবহু একই রকম।
